Vector quantization in speech coding,"J. Makhoul, S. Roucos, H. Gish, ",1985,504,Detection of laryngeal function using speech and electroglottographic data,Lattice and trellis quantization with lattice- and trellis-bounded codebooks-High-rate theory for memoryless sources,Vector quantizers with direct sum codebooks,Universal schemes for sequential decision from individual data sequences,Variable-rate tree-structured vector quantizers,High-resolution quantization theory and the vector quantizer advantage,Necessary conditions for the optimality of variable-rate residual vector quantizers,Termination and continuity of greedy growing for tree-structured vector quantizers,Minimum mean-squared error transform coding and subband coding,A study of vector quantization for noisy channels,Recursive partitioning to reduce distortion,On the performance and complexity of channel-optimized vector quantizers,Optimization of lattices for quantization,Quantization,Robust vector quantization by a linear mapping of a block code,Quantization based on a novel sample-adaptive product quantizer (SAPQ),The 'neural' phonetic typewriter,Adaptive entropy-coded pruned tree-structured predictive vector quantization of images,Variable rate vector quantization for speech image and video compression,Multilevel block truncation coding using a minimax error criterion for high-fidelity compression of digital images,Effect of ordering the codebook on the efficiency of the partial distance search algorithm for vector quantization,Subband coding of images using vector quantization,Dynamic finite-state vector quantization of digital images,,An optimal design procedure for intraband vector quantized subband coding,Comparison between several adaptive search vector quantization schemes and JPEG standard for image compression,Progressive image transmission using vector quantization on images in pyramid form,Transmission of analog signals using multicarrier modulation: a combined source-channel coding approach,A lattice vector quantization using a geometric decomposition,An algorithm for the design of generalized quantizers for detection
Channel estimation for OFDM systems with transmitter diversity in mobile wireless channels,"Ye Li, N. Seshadri, S. Ariyavisitakul, ",1999,503,An effective channel estimation method for transmit diversity systems,Combined iterative channel estimation and data detection for space-time block codes,Scalable image transmission over differentially space-time coded OFDM systems,Channel estimation for space-time block coded OFDM systems in the presence of multipath fading,BER performance of differential demodulation OFDM system in multipath fading channels,Blind channel estimation for repetition coded OFDM in block Rayleigh fading,Channel estimation algorithm for space-time block coded OFDM systems,Preamble design for channel estimation in MIMO-OFDM systems,Channel estimation in two dimensions for OFDM systems with multiple transmit antennas,MIMO-OFDM channel estimation via probabilistic data association based TOAs,A novel soft-in soft-out detection algorithm for space-time coded OFDM over multipath fading channels,Blind channel estimation for MIMO-OFDM systems using virtual carriers,Receiver design for MIMO-OFDM transmission over time variant channels,Channel estimation technique for mitigating ICI in MIMO-OFDM cellular systems,Space-time trellis coded OFDM system with added pilot semi-blind iterative channel estimation,Optimal pilot-to-data power ratio for MIMO-OFDM,A pilot-aided non-resampling sequential Monte Carlo detector for coded MIMO-OFDM systems,SPC07-1: An Iterative ML-Based Algorithm for the Joint Estimation of Carrier Frequency Offset Channel Impulse Response and Data in OFDM Transmissions,SPC11-6: Efficient Second-Order Statistics-based Channel Estimation Algorithms for MC-CDMA Systems Using Transmit Diversity,Low-Complexity Algorithm for Tap-Selective Maximum Likelihood Estimation Over Sparse Multipath Channels,An Iterative Receiver with Channel Estimation for MIMO-OFDM Over a Time and Frequency Dispersive Fading Channel,Joint MAP Detection for MIMO-OFDM Systems,Channel estimation for the uplink of MIMO MC-CDMA systems,Performances analysis of Algebraic Space Time Code under correlated and uncorrelated channels,A multirate pilot-symbol-assisted channel estimator for OFDM transmitter diversity systems,Two EM-type channel estimation algorithms for OFDM with transmitter diversity,A channel estimator for OFDM transmitter diversity systems without a cyclic prefix,Phase-Direct Channel Estimation for Space-Time OFDM,Blind Channel Estimation for Linearly Precoded MIMO-OFDM,Efficient space-frequency block coded pilot-aided channel estimation method for multiple-input-multiple-output orthogonal frequency division multiplexing systems over mobile frequency-selective fading channels
Differential Evolution Using a Neighborhood-Based Mutation Operator,"Swagatam Das, Ajith Abraham, Uday K. Chakraborty, Amit Konar, ",2009,503,High-performance Brillouin distributed temperature sensor using Fourier wavelet regularised deconvolution algorithm,Improved Differential Evolution With a Modified Orthogonal Learning Strategy,An iteration method of sidelobe suppressing of unequally spaced array,Performance evaluation of opposition based Differential Evolution on non-convex economic dispatch,A smoothing evolutionary algorithm based on square search and filled function for global optimization,MRLDE for solving engineering optimization problems,Real life optimization problems solving by IUDE,Large scale global optimization using self-adaptive differential evolution algorithm,A modified Invasive Weed Optimization algorithm for time-modulated linear antenna array synthesis,Differential evolution with ensemble of constraint handling techniques for solving CEC 2010 benchmark problems,Sequential DE enhanced by neighborhood search for Large Scale Global Optimization,User's favorite scent design using paired comparison-based Interactive Differential Evolution,Differential Evolution enhanced by neighborhood search,A preliminary study on the use of differential evolution for adjusting the position of examples in nearest neighbor classification,A normative differential evolution approach for estimation of heat transfer coefficient during freezing treatment by inverse analysis,Benchmarking a hybrid DE-RHC algorithm on real world problems,Ensemble strategies in Compact Differential Evolution,Clustering in mobile ad hoc networks with differential evolution,Adaptive Differential Evolution with variable population size for solving high-dimensional problems,Self-adaptive differential evolution algorithm with a small and varying population size,Enhanced mutation strategy for differential evolution,Tree model reconstruction innovization using multi-objective differential evolution,Selection strategies and random perturbations in differential evolution,Global optimization algorithm based on self-organizing centroids,Elite Multi-Group Differential Evolution,Differential Evolution with Concurrent Fitness Based Local Search,Structured Population Size Reduction Differential Evolution with Multiple Mutation Strategies on CEC 2013 real parameter optimization,Self-adaptive mutation strategy for evolutionary programming based on fitness tracking scheme,DEMO-TDQL: An adaptive multi-objective optimization algorithm,Multiagent Coordination Optimization: A control-theoretic perspective of swarm intelligence algorithms
CCFinder: a multilinguistic token-based code clone detection system for large scale source code,"T. Kamiya, S. Kusumoto, K. Inoue, ",2002,502,Case study on software refactoring tactics,Detecting Software Theft via System Call Based Birthmarks,On detection of gapped code clones using gap locations,Genericity - a Missing in Action Key to Software Simplification and Reuse,Visualizing Clone Cohesion and Coupling,A Source-Code Based Extraction Way for Micro Processes Influencing Software Complexity,Code Clone Graph Metrics for Detecting Diffused Code Clones,CMCD: Count Matrix Based Code Clone Detection,Understanding the Effects of Code Clones on Modularity in Software Systems,An Experience Report on Analyzing Industrial Software Systems Using Code Clone Detection Techniques,System Quality Improvement Including Software and Infrastructure Based on Software Metrics Approach,Identifying More Equivalent Mutants via Code Similarity,A Tool to Suggest Similar Program Element Modifications,A Third-Party Extension Support Framework Using Patterns,CCSharp: An Efficient Three-Phase Code Clone Detector Using Modified PDGs,CCFinderSW: Clone Detection Tool with Flexible Multilingual Tokenization,Evaluating Aspect Mining Techniques: A Case Study,NICAD: Accurate Detection of Near-Miss Intentional Clones Using Flexible Pretty-Printing and Code Normalization,Scenario-Based Comparison of Clone Detection Techniques,A Technique for Just-in-Time Clone Detection in Large Scale Systems,An Empirical Study of the Impacts of Clones in Software Maintenance,Exploring Large-Scale System Similarity Using Incremental Clone Detection and Live Scatterplots,SeClone - A Hybrid Approach to Internet-Scale Real-Time Code Clone Search,SeByte: A semantic clone detection tool for intermediate languages,Gapped code clone detection with lightweight source code analysis,Applying clone change notification system into an industrial development process,Agec: An execution-semantic clone detection tool,Do code smells hamper novice programming? A controlled experiment on Scratch programs,Rule-directed code clone synchronization,Binary Code Clone Detection across Architectures and Compiling Configurations
VSNR: A Wavelet-Based Visual Signal-to-Noise Ratio for Natural Images,"Damon M. Chandler, Sheila S. Hemami, ",2007,502,Content-based image quality assessment using semantic information and luminance differences,Efficient image sharpening and denoising using adaptive guided image filtering,Quality index evaluation of videos based on fuzzy interface system,Structured entropy of primitive: big data-based stereoscopic image quality assessment,Quality assessment of a stereo pair formed from decoded and synthesized views using objective metrics,Objective quality measures comparison of impaired 3D video sequences from the UC3D database,Mean Deviation Similarity Index: Efficient and Reliable Full-Reference Image Quality Evaluator,Performance Evaluation of Visual Tracking Algorithms on Video Sequences With Quality Degradation,Audio-Visual Multimedia Quality Assessment: A Comprehensive Survey,On the use of image quality estimators for improved JPEG2000 coding,Perceptual evaluation of image denoising algorithms,A Reduced Reference Image Quality assessment for Multiply Distorted Images,Toward a universal learning-based image quality metric with reference for stereoscopic images,Analysis of TID2008 and LIVE databases,Optimized three scores combination for image quality assessment,Translation insensitive assessment of image quality based on measuring the homogeneIty of correspondence,Reduced reference image quality assessment using Principal Component Analysis,Evaluation of video quality metrics on transmission distortions in H.264 coded video,Which metric can predict coding gain of H.265/HEVC over H.264/AVC?,Subjective and objective quality assessment for color changed images,Application of full-reference video quality metrics in IPTV,A rank-order comparison of image quality metrics,Perceptual quality driven cross-layer optimization for wireless video streaming,Influence of HEVC compression on event detection in security video sequences,Image restoration using filters and image quality assessment using reduced reference metrics,No-reference image sharpness Algorithm based on gradient shape,Self-information weighting for image quality assessment,A multifunctional video quality assessment system,On the assessment of the quality of textures in visual media,A Novel Image Quality Assessment Method Based on Vision Attention
Diversity through coded cooperation,"T. E. Hunter, A. Nosratinia, ",2006,502,Survey on cooperative medium access control protocols,Extended low-density parity-check codes for feedback-based cooperative diversity schemes,Coded cooperation: generalised outage analysis,Spectrally encoded code division multiple access-based cognitive relay networks,Performance analysis of distributed turbo coded scheme with two ordered best relays,Dynamic interference-limited relay sharing in cognitive radio networks by using hierarchical modulation,Interference cancellation and alignment techniques for multiple-input and multiple-output cognitive relay networks,Comprehensive Performance Analysis of Fully Cooperative Communication in WBANs,Robust Auction-Theoretic Partner Selection in Cooperative Diversity Wireless Networks,Distributed Decoding in Cooperative Communications,Distributed turbo coding using log-likelihood thresholding for cooperative communications,Finite block length coding for low-latency high-reliability wireless communication,Performance analysis of cooperative LDPC coding for wireless network,Joint optimization of power allocation and cooperation in wireless OFDM networks,Network coding for LTE-based Cooperative communications,Exact error performance analysis of binary space-time block coded cooperative communications systems in Rayleigh fading channels,Antenna selection in cognitive AF systems in the presence of mutual primary-secondary interference limited feedback and imperfect channel estimations,Error propagation mitigation by exploiting source-relay correlation with limited channel feed-forward bits,An energy minimization algorithm based on synergy choice for resource-constrained wireless senor network,Implementation of coded cooperation using a kind of convolutional codes,Partner selection strategy for users with high speed in cooperative diversity systems,Distributed Amplify-and-Forward with Ring-TCM Codes,MAC protocol for cooperative networks with efficient selection of relay terminals,Hierarchically modulated coded cooperation for relay system,Enhanced MIMO cooperative communication based on signal space diversity,Diversity-Multiplexing-Delay Tradeoff in Decode-and-Forward MIMO Relay Network with CC-ARQ,On Selection Cooperation in Distributed Networks,Cooperative Multiple Trellis Coded Modulation for OFDM Systems,Constellation Design for Cooperative Communication,Distributed error-probability-minimizing relay selection for cooperative wireless networks
Run-length encodings (Corresp.),"S. Golomb, ",1966,500,Improvements of data embedding in DCT compressed domain,Lossless compression of curated erythrocyte images using deep autoencoders for malaria infection diagnosis,Automatic Generation Algorithm of FAST Protocol Templates for Efficient Transmission of Financial Data,Adaptive Linear Filtering Compression on realtime sensor networks,Image data compression: A review,Are Current Advances of Compression Algorithms for Capsule Endoscopy Enough? A Technical Review,Operators over Compressed Integer Encodings,Improved distance coding of binary images by run length coding of the most probable interval,A novel method for lossless compression of arbitrarily shaped regions of interest in hyperspectral imagery,Fast Golomb coding parameter estimation using partial data and its application in hyperspectral image compression,Interleaving entropy codes,Code and parse trees for lossless source encoding,Image coding using irregular subsampling and Delaunay triangulation,One-dimensional filtering and filter coefficient compression for optimal post-process/in-loop filter coefficient,Surface simplification and Edgebreaker compression for 2D cell animations,Applying Multiple Classifier Systems to SoftMan's Perception System,Keynote 1,A parallel architecture for data compression,Compact in-memory models for compression of large text databases,Compaction techniques for nextword indexes,A physical storage model for efficient statistical query processing,A scheme for data compression in supercomputers,Frequency Region-Based Prioritized Bit-Plane Coding for Scalable Audio,A High-Quality Speech and Audio Codec With Less Than 10-ms Delay,Analysis of Bit-Plane Probability for Generalized Gaussian Distribution and its Application in Audio Coding,Resolution Warped Spectral Representation for Low-Delay and Low-Bit-Rate Audio Coder,Encoding Multiple Audio Objects Using Intra-Object Sparsity,Optimal Coding of Generalized-Gaussian-Distributed Frequency Spectra for Low-Delay Audio Coder With Powered All-Pole Spectrum Estimation,Wireless EEG System Achieving High Throughput and Reduced Energy Consumption Through Lossless and Near-Lossless Compression,Test data compression and decompression based on internal scan chains and Golomb coding
The golden code: a 2&times;2 full-rate space-time code with nonvanishing determinants,"J. -C. Belfiore, G. Rekaya, E. Viterbo, ",2005,500
Supervised Descent Method and Its Applications to Face Alignment,"Xuehan Xiong, Fernando De la Torre, ",2013,500,Improved CNN-based facial landmarks tracking via ridge regression at 150 Fps on mobile devices,A face alignment method based on SURF features,Facial landmark localization: Past present and future,Evaluation of video magnification for nonintrusive heart rate measurement,Selective Transfer Machine for Personalized Facial Action Unit Detection,Face Alignment at 3000 FPS via Regressing Local Binary Features,Nonparametric Context Modeling of Local Appearance for Pose- and Expression-Robust Facial Landmark Localization,Unified Face Analysis by Iterative Multi-output Random Forests,A Hierarchical Probabilistic Model for Facial Feature Detection,RAPS: Robust and Efficient Automatic Construction of Person-Specific Deformable Models,Automatic Construction of Deformable Models In-the-Wild,Towards Multi-view and Partially-Occluded Face Alignment,Gauss-Newton Deformable Part Models for Face Alignment In-the-Wild,Incremental Face Alignment in the Wild,Stacked Progressive Auto-Encoders (SPAE) for Face Recognition Across Poses,Visual Persuasion: Inferring Communicative Intents of Images,Bayesian Active Appearance Models,Project-Out Cascaded Regression with an application to face alignment,Mirror mirror on the wall tell me is the error small?,Face alignment by coarse-to-fine shape searching,Active Pictorial Structures,Face Alignment Across Large Poses: A 3D Solution,Walk and Learn: Facial Attribute Representation Learning from Egocentric Video and Contextual Data,Recurrent Face Aging,Joint Unsupervised Deformable Spatio-Temporal Alignment of Sequences,Constrained Joint Cascade Regression Framework for Simultaneous Facial Action Unit Recognition and Facial Landmark Detection,Unconstrained Face Alignment via Cascaded Compositional Learning,Automated 3D Face Reconstruction from Multiple Images Using Quality Measures,Occlusion-Free Face Alignment: Deep Regression Networks Coupled with De-Corrupt AutoEncoders,Facial Expression Intensity Estimation Using Ordinal Information
The benefits of coding over routing in a randomized setting,"T. Ho, R. Koetter, M. Medard, D. R. Karger, M. Effros, ",2003,500,Erasure-Coding Based Dissemination Protocol for Mobile Clouds,Distributed data storage in sensor networks using decentralized erasure codes,Error correction for resource limited random network coding networks,Random linear coding for multicast over a time-varying channel,Queue length analysis for multicast: Limits of performance and achievable queue length with random linear coding,Enhancing data persistence for energy constrained networks by network modulation,Asymptotic rate limits for randomized broadcasting with network coding,BATS: Network coding in action,A bandwidth-efficient scheme for distributed storage systems,A precoding scheme with generation crossing for network coding,Hierarchical random linear network coding for multicast scalable video streaming,TCP network coding with forward retransmission,Queuing aspects of packet coding based bidirectional communication over satellite channels,Cooperative satellite to land mobile gap-filler-less interactive system architecture,Robustness of Random Network Coding to Interfering Sources,Algebraic list-decoding of subspace codes with multiplicities,Minimizing weighted sum finish time for one-to-many file transfer in peer-to-peer networks,The complexity of object reconciliation and open problems related to set difference and coding,An update model for network coding in cloud storage systems,Cooperative Content Distribution Using Information Droplets,Efficient mixed-generation concatenated network coding,On the combination of multi-layer source coding and network coding for wireless networks,Physical layer security vs. network layer secrecy: Who wins on the untrusted two-way relay channel?,Secure network coding based on homomorpuic signature against pollution attacks,Extending mobile BitTorrent environment with network coding,The throughput benefits of network coding for SR ARQ communication,A simulation study on network coding parameters in P2P content distribution system,MIDTONE: Multicast in delay tolerant networks,Network-level cooperative protocols for wireless multicasting: Stable throughput analysis and use of network coding,Network Coding: A Computational Perspective
Advances in picture coding,"H. G. Musmann, P. Pirsch, H. -J. Grallert, ",1985,499
Secure Transmission With Multiple Antennas I: The MISOME Wiretap Channel,"Ashish Khisti, Gregory W. Wornell, ",2010,497,Physical layer security by robust masked beamforming and protected zone optimisation,Secure multiple-input single-output communication - Part I: secrecy rates and switched power allocation,Secure multiple-input single-output communication - Part II: δ-secrecy symbol error probability and secrecy diversity,Linear precoding for spatially correlated multiple-input single-output wiretap channel,Secure communications via sending artificial noise by both transmitter and receiver: optimum power allocation to minimise the insecure region,Physical layer security of multiple-input–multiple-output systems with transmit beamforming in Rayleigh fading,Eavesdropping mitigation for wireless communications over single-input–single-output channels,Destination-based cooperative jamming in untrusted amplify-and-forward relay networks: resource allocation and performance study,Achievable secrecy rate of wiretap channels incorporating multi-input–multi-output amplify and forward relaying,Beamforming strategies for multi-antenna relay-assisted networks,Signal and artificial noise beamforming for secure simultaneous wireless information and power transfer multiple-input multiple-output relaying systems,Secure robust relay beamforming: a convex conic approximation approach,Optimal power allocation to improve secrecy performance of non-regenerative cooperative systems using an untrusted relay,Associating MIMO beamforming with security codes to achieve unconditional communication security,Joint optimal power allocation and relay selection to establish secure transmission in uplink transmission of untrusted relays network,Key establishment via common state information in networked control systems,Security and Reliability Performance Analysis for Cloud Radio Access Networks With Channel Estimation Errors,Original Symbol Phase Rotated Secure Transmission Against Powerful Massive MIMO Eavesdropper,Adaptive Base Station Cooperation for Physical Layer Security in Two-Cell Wireless Networks,An Overview of Physical Layer Security in Wireless Communication Systems With CSIT Uncertainty,Physical Layer Security Jamming: Theoretical Limits and Practical Designs in Wireless Networks,Secure Transmission With Aid of a Helper for MIMOME Network Having Finite Alphabet Inputs,Physical Layer Secure Transmission Based on Fast Dual Polarization Hopping in Fixed Satellite Communication,Probabilistic Robust Secure Beamforming in MISO Channels With Imperfect LCSI and Statistical ECSI,A Survey on C-RAN Security,Joint Cooperative Beamforming and Jamming for Physical-Layer Security of Decode-and-Forward Relay Networks,Secure Communication for MISO Secrecy Channel With Multiple Multiantenna Eavesdroppers Having Finite Alphabet Inputs,Cooperative Jamming in MIMO ad-hoc networks,On the ergodic secrecy capacity of the wiretap channel under imperfect main channel estimation,Secrecy capacity limits of multiple antenna multiple eavesdropper multicast
Wideband DS-CDMA for next-generation mobile communications systems,"F. Adachi, M. Sawahashi, H. Suda, ",1998,497,Time-Domain Spreading And Frequency-Domain Spreading for Delay-time/Code Division Multi-Access,Coded QAM in Multicode CDMA Systems,Exact Capture Probability Analysis of GSC Receivers over Rayleigh Fading Channel,Analysis of RAKE receiver in W-CDMA systems with downlink beamforming,Performance of generalized selection combining over Weibull fading channels,Region division assignment of orthogonal variable-spreading-factor codes in W-CDMA,Multipath interference canceller using soft-decision replica combined with hybrid ARQ in W-CDMA forward link,Fundamental limitations of power control in W-CDMA,Enhancement of site selection diversity transmit power control in CDMA cellular systems,Site independent diversity transmit power control for inter-cell site diversity in W-CDMA forward link,Performance evaluation of the VBLAST algorithm in W-CDMA systems,A novel code assignment scheme for W-CDMA systems,Performance of multirate techniques in W-CDMA,Integrated power control with concatenated coding for DS-CDMA systems,Parallel-type coherent multistage interference canceller with multiple-antenna reception in DS-CDMA reverse link,Rate compatible punctured SCCC,Uplink channel estimation for IMT-DS system,Performance evaluation of DOA based beamforming in W-CDMA system,Equivalently blind time-domain channel estimation for MC-CDMA system over frequency-selective fading channels in multiuser scenario,Implementation factors of the multi-rate parallel interference canceller for the IMT-2000 3GPP system,Comparison between multipath interference canceller and chip equalizer in HSDPA in multipath channel,Adaptive radio parameter control considering QoS for forward link OFCDM wireless access,Frequency-Domain Eigenbeam-SDM and Equalization for High Speed Data Transmissions,Iterative Overlap FDE for DS-CDMA without GI,Performance Evaluation and Comparison between Iterative DS-CDMA and NDMA,Complexity-Reduced Per-Antenna Multiple Access Interference Cancellation for DAN Using DS-CDMA,Measurement-feedback Power Control in CDMA System with Power and SIR Error Minimization,Transmitter antenna diversity and adaptive signaling using long range prediction for fast fading DS/CDMA mobile radio channels,Cyclic Wiener filtering based multirate DS-CDMA receivers,Integrated interference cancellation and decoding for CDMA systems using turbo code
Robust online appearance models for visual tracking,"A. D. Jepson, D. J. Fleet, T. F. El-Maraghi, ",2003,497
Exact reconstruction techniques for tree-structured subband coders,"M. Smith, T. Barnwell, ",1986,496,Lossless image coding using wavelets and variable block size segmentation,Variable-delay dyadic wavelets,Time-frequency analysis with temporal and spectral resolution as the human auditory system,Oversampling invariance of wavelet frames,Image coding using DCT of wavelet coefficients,A theoretical framework for the analysis and design of size-limited multirate filter banks,A novel spectral factorization method and its application in the design of filter banks and wavelets,The design of arbitrary-length cosine-modulated filter banks and wavelets satisfying perfect reconstruction,The spectral theory of multirate filter banks,Design of filters for two channel perfect reconstruction filter bank,Multidimensional orthogonal filter bank characterization and design using the Cayley transform,Two-Band Hybrid FIR–IIR Filters for Image Compression,Highly regular wavelets for the detection of clustered microcalcifications in mammograms,The Binomial QMF-Wavelet Transform for Multiresolution Signal Decomposition,A general-purpose optimization approach for designing two-channel FIR filterbanks,Two-band wavelets and filterbanks over finite fields with connections to error control coding,New design and realization techniques for a class of perfect reconstruction two-channel FIR filterbanks and wavelets bases,Efficient design of oversampled NPR GDFT filterbanks,Overcomplete Discrete Wavelet Transforms With Rational Dilation Factors,On Bounds of Shift Variance in Two-Channel Multirate Filter Banks,Scalable implementation scheme for multirate FIR filters and its application in efficient design of subband filter banks,Projection VQ Applied to Video Sequence Encoding,New class of wavelets for signal approximation,Approximate moments and regularity of efficiently implemented orthogonal wavelet transforms,An efficient algorithm to design weighted minimax perfect reconstruction quadrature mirror filters,1/M-octave-band filter banks and wavelets,An efficient algorithm to design perfect reconstruction regular quadrature mirror filters using weighted L/sub p/ error criteria,A successive reoptimization approach for the design of discrete coefficient perfect reconstruction lattice filter bank,A new approach to design of two-channel filter banks with PR and low-delay,On the regularity of orthonormal wavelets designed via the zero-pinning technique
Grid coverage for surveillance and target location in distributed sensor networks,"K. Chakrabarty, S. S. Iyengar, Hairong Qi, Eungchun Cho, ",2002,495,Sequence-Based Localization in Wireless Sensor Networks,Distributed Energy Optimization for Target Tracking in Wireless Sensor Networks,Efficient Coverage Maintenance Based on Probabilistic Distributed Detection,Using Rotatable and Directional (R&amp;D) Sensors to Achieve Temporal Coverage of Objects and Its Surveillance Application,Asymptotic Minimum Coverage Using Macroscopic Diversity,Global Sensor Deployment and Local Coverage-Aware Recovery Schemes for Smart Environments,Connected sensor cover: self-organization of sensor networks for efficient query execution,Impact of sensing coverage on greedy geographic routing algorithms,Distributed Deployment Schemes for Mobile Wireless Sensor Networks to Ensure Multilevel Coverage,Energy-Efficient Protocol for Deterministic and Probabilistic Coverage in Sensor Networks,Sensor Placement Algorithms for Fusion-Based Surveillance Networks,Gaussian versus Uniform Distribution for Intrusion Detection in Wireless Sensor Networks,Impact of Brooks-Iyengar DistributedSensing Algorithm on Real Time Systems,Path Construction and Visit Scheduling for Targets by Using Data Mules,The Smart-Condo: Optimizing Sensor Placement for Indoor Localization,Optimal Control-Based Strategy for Sensor Deployment,Sensor Network Design for Smart Highways,A Mobility-Aware Node Deployment and Tree Construction Framework for ZigBee Wireless Networks,A Hybrid Genetic Algorithm for the Minimum Exposure Path Problem of Wireless Sensor Networks Based on a Numerical Functional Extreme Model,Coverage Contribution Area Based $k$ -Coverage for Wireless Sensor Networks,Efficient Algorithm for Constructing Minimum Size Wireless Sensor Networks to Fully Cover Critical Square Grids,Optimal WSN Deployment Models for Air Pollution Monitoring,Increasing Network Lifetime by Optimum Placement of Sensors in Wireless Sensor Networks,The Minimum Cost Sensor Placement Problem for Directional Wireless Sensor Networks,Layout optimization for a wireless sensor network using a multi-objective genetic algorithm,Approximate Optimal Sensor Placements in Grid Sensor Fields,An Effective Inter-Cell Interference Coordination Scheme for Heterogeneous Network,Fault-Tolerant Sensor Coverage for Achieving Wanted Coverage Lifetime with Minimum Cost,Energy Balancing Routing Algorithms in Wireless Sensor Networks Connected as Grids,Sensor placement for effective coverage and surveillance in distributed sensor networks
Nested linear/lattice codes for structured multiterminal binning,"R. Zamir, S. Shamai, U. Erez, ",2002,494,Compute-and-forward: A novel strategy for cooperative networks,Two edge type LDPC codes for the wiretap channel,Relay channel with structured interference known at the source,Half-duplex gaussian diamond relay channel with interference known at one relay,Lattice parameter estimation from sparse noisy measurements,A layered lattice coding scheme for a class of three user Gaussian interference channels,The joint gaussian CEO/MAC problem and relaying,List decoding for nested lattices and applications to relay channels,Distributed successive approximation coding using broadcast advantage: The two-encoder case,Capacity for the doubly dirty multiple access channel with partial side information at the transmitters,Achievable rate regions of multi-way relay channel with direct links,Performance analysis of scheduled TAS-MRC MIMO systems with multiple interferers,Structured superposition for backhaul constrained cellular uplink,Performance of polar codes for channel and source coding,Relaying simultaneous multicasts via structured codes,Source coding with side information using list decoding,On the excess distortion exponent of the quadratic-Gaussian Wyner-Ziv problem,Algebraic constructions of graph-based nested codes from protographs,Unifying notions of generalized weights for universal security on wire-tap networks,Joint diversity with multi-stream selection for multi-user spatial multiplexing systems with block diagonalization,Wyner-Ziv lattice coding for two-way relay channel,On the parallel relay wire-tap network,New parameters of linear codes expressing security performance of universal secure network coding,Sparse regression codes for multi-terminal source and channel coding,On the capacity of the modulo lattice channels,Design of nested protograph-based LDPC codes with low error-floors,Unimodular lattices for the Gaussian Wiretap Channel,Vector Wyner-Ziv coding for vector Gaussian CEO problem,Slepian-Wolf Coding Using Parity Approach and Syndrome Approach,On the impact of limited-capacity backhaul and inter-users links in cooperative multicell networks
A filter bank for the directional decomposition of images: theory and design,"R. H. Bamberger, M. J. T. Smith, ",1992,492,A hybrid computer-aided diagnosis system for abnormality detection in mammograms,A New Image Quality Assessment Algorithm Based on Contourlet Transformation,Face Recognition Using Enhanced Fisher Linear Discriminant,Design and Application of a New Multiscale Multidirectional Non-subsampled Filter Bank,Gaussian 2D IIR filters with multiple orientation,QuickBird Image Fusion by a Multirresolution-Multidirectional Joint Image Representation,Two-Channel Parallelogram QMF Banks Using 2-D NSHP Digital All-Pass Filters,Directional filter bank-based fingerprint feature extraction and matching,Directional Discrete Cosine Transforms—A New Framework for Image Coding,Scalable Video Compression Framework With Adaptive Orientational Multiresolution Transform and Nonuniform Directional Filterbank Design,Video Coding With Rate-Distortion Optimized Transform,Design of directional filters using downsampling,An Efficient Pan-Sharpening Method via a Combined Adaptive PCA Approach and Contourlets,Panchromatic and Multispectral Image Fusion Based on Maximization of Both Spectral and Spatial Similarities,An Edge Preserving Multiresolution Fusion: Use of Contourlet Transform and MRF Prior,Differentiating Between Images Using Wavelet-Based Transforms: A Comparative Study,One-Class Writer-Independent Offline Signature Verification Using Feature Dissimilarity Thresholding,Improved structures of maximally decimated directional filter Banks for spatial image analysis,Multidimensional mapping-based complex wavelet transforms,Multidimensional orthogonal filter bank characterization and design using the Cayley transform,The contourlet transform: an efficient directional multiresolution image representation,Special paraunitary matrices Cayley transform and multidimensional orthogonal filter banks,Directional multiscale modeling of images using the contourlet transform,Directionlets: anisotropic multidirectional representation with separable filtering,The Nonsubsampled Contourlet Transform: Theory Design and Applications,Translation-Invariant Contourlet Transform and Its Application to Image Denoising,Adaptive Directional Lifting-Based Wavelet Transform for Image Coding,Multidimensional Directional Filter Banks and Surfacelets,A New Family of Nonredundant Transforms Using Hybrid Wavelets and Directional Filter Banks,On Two-Channel Filter Banks With Directional Vanishing Moments
Sampling signals with finite rate of innovation,"M. Vetterli, P. Marziliano, T. Blu, ",2002,491
