title,first-author,year,citation
An Efficient Learning Procedure for Deep Boltzmann Machines,Ruslan Salakhutdinov,2012,53,https://ieeexplore.ieee.org/document/6797213/citations?tabFilter=papers
Deep learning for robust feature generation in audiovisual emotion recognition,Yelin Kim,2013,52,https://ieeexplore.ieee.org/document/6638346/citations?tabFilter=papers
The nested chinese restaurant process and bayesian nonparametric inference of topic hierarchies,David M. Blei,2010,52,https://ieeexplore.ieee.org/document/5822084/citations?tabFilter=papers
Automatic Segmentation of MR Brain Images With a Convolutional Neural Network,Pim Moeskops,2016,52,https://ieeexplore.ieee.org/document/7444155/citations?tabFilter=papers
Semantic Image Segmentation via Deep Parsing Network,Ziwei Liu,2015,51,https://ieeexplore.ieee.org/document/7410519/citations?tabFilter=papers
Traffic Flow Prediction With Big Data: A Deep Learning Approach,Yisheng Lv,2015,51,https://ieeexplore.ieee.org/document/6894591/citations?tabFilter=papers
On deep generative models with applications to recognition,Marc'Aurelio Ranzato,2011,50,https://ieeexplore.ieee.org/document/5995710/citations?tabFilter=papers
Pulmonary Nodule Detection in CT Images: False Positive Reduction Using Multi-View Convolutional Networks,Arnaud Arindra Adiyoso Setio,2016,50,https://ieeexplore.ieee.org/document/7422783/citations?tabFilter=papers
Video Tracking Using Learned Hierarchical Features,Li Wang,2015,50,https://ieeexplore.ieee.org/document/7041176/citations?tabFilter=papers
Fast Convolutional Sparse Coding,Hilton Bristow,2013,49,https://ieeexplore.ieee.org/document/6618901/citations?tabFilter=papers
Memory and Information Processing in Neuromorphic Systems,Giacomo Indiveri,2015,48,https://ieeexplore.ieee.org/document/7159144/citations?tabFilter=papers
Learning hidden unit contributions for unsupervised speaker adaptation of neural network acoustic models,Pawel Swietojanski,2014,48,https://ieeexplore.ieee.org/document/7078569/citations?tabFilter=papers
Learning Deep and Wide: A Spectral Method for Learning Deep Networks,Ling Shao,2014,48,https://ieeexplore.ieee.org/document/6763063/citations?tabFilter=papers
Simultaneous feature learning and hash coding with deep neural networks,Hanjiang Lai,2015,47,https://ieeexplore.ieee.org/document/7298947/citations?tabFilter=papers
Automatic Detection of Cerebral Microbleeds From MR Images via 3D Convolutional Neural Networks,Qi Dou,2016,47,https://ieeexplore.ieee.org/document/7403984/citations?tabFilter=papers
Multi-source Deep Learning for Human Pose Estimation,Wanli Ouyang,2014,47,https://ieeexplore.ieee.org/document/6909696/citations?tabFilter=papers
Deep Learning for Remote Sensing Data: A Technical Tutorial on the State of the Art,Liangpei Zhang,2016,47,https://ieeexplore.ieee.org/document/7486259/citations?tabFilter=papers
Learning deep physiological models of affect,Hector P. Martinez,2013,47,https://ieeexplore.ieee.org/document/6496209/citations?tabFilter=papers
Multimodal deep learning for robust RGB-D object recognition,Andreas Eitel,2015,46,https://ieeexplore.ieee.org/document/7353446/citations?tabFilter=papers
